recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby
Ramos, M;28832;nan;<NA>;01/05/1917 - 31/05/1917;Quezon;Philippines. Mt. Binuang. Province of Tayabas. Luzon.;P01986538;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;5;1917;;;;0;0;0;121.557;14.775;0;0;28832;P01986538;Ramos, M.;<NA>
Ramos, M;28720;nan;<NA>;01/05/1917 - 31/05/1917;Quezon;Philippines. Mt. Binuang. Province of Tayabas. Luzon.;P01986539;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;5;1917;;;;0;0;0;121.557;14.775;0;0;28720;P01986539;Ramos, M.;<NA>
Ramos, M;49460;nan;<NA>;01/04/1927 - 31/05/1927;Davao Oriental;Philippines. Mt. Mayo. Davao Province. Mindanao;P01986541;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;4;1927;;;;0;0;0;126.312;7.1;0;0;49460;P01986541;Ramos, M.;<NA>
Ramos, M;48272;nan;<NA>;01/09/1926 - 31/10/1926;Quezon;Philippines. Alabat Island;P01986542;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;9;1926;;;;0;0;0;122.03;14.12;0;0;48272;P01986542;Ramos, M.;<NA>
Ramos, M;;nan;<NA>;01/02/1926 - 31/03/1926;Isabela;Philippines. San Mariano. Isabela Province. Luzon;P01986543;Philippines;Haplostichanthus;lanceolata;0;0;0;0;<NA>;<NA>;1;2;1926;;;;0;0;0;122.0127684;16.9835964;0;0;nan;P01986543;Ramos, M.;<NA>
Merrill, ED;10457;nan;<NA>;21/12/1916 - 30/12/1916;Quezon;Philippines. Alabat Island;P01986544;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;21;12;1916;;;;0;0;0;122.05;14.116667;0;0;10457;P01986544;Merrill, E.D.;<NA>
Ramos, M;17417;Kessler, P;01/11/2003 - 30/11/2003;01/03/1914 - 30/04/1914;Eastern Visayas (Region VIII);Philippines. Samar;P01986546;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;3;1914;1;11;2003;0;0;0;125.11;11.96;0;0;17417;P01986546;Ramos, M.;Kessler, P.
Elmer, ADE;17775;nan;<NA>;01/06/1917 - 31/07/1917;Laguna;Philippine Islands. Los Baños (Mt. Maquiling), province of Laguna. Island of Luzon.;P01986547;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;6;1917;;;;0;0;0;121.198;14.141;0;0;17775;P01986547;Elmer, A.D.E.;<NA>
Elmer, ADE;16045;nan;<NA>;01/05/1916 - 31/05/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon.;P01986548;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;5;1916;;;;0;0;0;124.0320966;12.7038417;0;0;16045;P01986548;Elmer, A.D.E.;<NA>
Elmer, ADE;15166;nan;<NA>;01/11/1915 - 30/11/1915;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;P01986549;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;11;1915;;;;0;0;0;124.0320966;12.7038417;0;0;15166;P01986549;Elmer, A.D.E.;<NA>
Loher, A;15026;nan;<NA>;<NA>;Rizal;Philippines. Rizal Province. Luzon;P01986550;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;;;;;;;0;0;0;121.25;14.65;0;0;15026;P01986550;Loher, A.;<NA>
Ramos, M;24062;nan;<NA>;01/11/1915 - 30/11/1915;Laguna;Philippines. Province of Laguna. Luzon;P01986551;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;11;1915;;;;0;0;0;121.33;14.17;0;0;24062;P01986551;Ramos, M.;<NA>
Elmer, ADE;18327;nan;<NA>;01/06/1917 - 31/07/1917;Laguna;Philippine Islands. Los Baños (Mt. Maquiling), Province of Laguna, Luzon;P01986552;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;6;1917;;;;0;0;0;121.199;14.134;0;0;18327;P01986552;Elmer, A.D.E.;<NA>
Rosenbluth, R;12729;Kessler, P;25/10/1989 - 25/10/1989;01/03/1909 - 31/03/1909;Leyte;Philippines. Leyte;P01986582;Philippines;Platymitra;arborea;0;0;0;0;;;1;3;1909;25;10;1989;0;0;0;124.892;10.784;0;0;12729;P01986582;Rosenbluth, R.;Kessler, P.
Martelino, A;35553;nan;<NA>;01/05/1919 - 30/06/1919;Aklan;Philippines. Libacao. Capiz Province. Panay;P01987351;Philippines;Xylopia;densiflora;0;0;0;0;;;1;5;1919;;;;0;0;0;122.3024183;11.480692;0;0;35553;P01987351;Martelino, A.;<NA>
Escritor, L;21198;nan;<NA>;26/06/1913 - 26/06/1913;Aurora;Philippines. Baler. Province of Tayabas. Luzon;P01987352;Philippines;Xylopia;densiflora;0;0;0;0;;;26;6;1913;;;;0;0;0;121.5627247;15.759086;0;0;21198;P01987352;Escritor, L.;<NA>
Ramos, M;39754;nan;<NA>;01/04/1921 - 30/04/1921;Occidental Mindoro;Philippines. Paluan. Mindoro;P01987353;Philippines;Xylopia;densiflora;0;0;0;0;;;1;4;1921;;;;0;0;0;120.4623373;13.4155816;0;0;39754;P01987353;Ramos, M.;<NA>
Loher, A;13398;nan;<NA>;01/05/1915 - 31/05/1915;Rizal;Philippines. Montalban. Rizal Province;P01987354;Philippines;Xylopia;dehiscens;0;0;0;0;;;1;5;1915;;;;0;0;0;121.144;14.7295;0;0;13398;P01987354;Loher, A.;<NA>
Loher, A;13261;nan;<NA>;<NA>;Rizal;Philippines. Montalban. Rizal Province;P01987355;Philippines;Xylopia;dehiscens;0;0;0;0;;;;;;;;;0;0;0;121.144;14.7295;0;0;13261;P01987355;Loher, A.;<NA>
Ramos, M;29097;nan;<NA>;01/05/1917 - 31/05/1917;Quezon;Philippines. Mt. Tulaog. Province of Tayabas. Luzon;P01987357;Philippines;Xylopia;dehiscens;0;0;0;0;;;1;5;1917;;;;0;0;0;121.559;14.773;0;0;29097;P01987357;Ramos, M.;<NA>
Cenabre, AL;;nan;<NA>;01/02/1923 - 28/02/1923;Palawan;Philippines. Puerto Princesa. Palawan;P01987358;Philippines;Xylopia;dehiscens;0;0;0;0;<NA>;<NA>;1;2;1923;;;;0;0;0;118.732;9.738;0;0;nan;P01987358;Cenabre, A.L.;<NA>
Whitford, HN;11696;nan;<NA>;01/08/1910 - 31/08/1910;Laguna;Philippines. Mt. Maquiling, Province of Laguna, Luzon.;P01987359;Philippines;Xylopia;dehiscens;0;0;0;0;;;1;8;1910;;;;0;0;0;121.199;14.134;0;0;11696;P01987359;Whitford, H.N.;<NA>
Cumming;1823;Kessler;01/11/2003 - 30/11/2003;<NA>;National Capital Region (NCR);Manille;P01987376;Philippines;Xylopia;sp.;0;0;0;0;;;;;;1;11;2003;0;0;0;120.9809674;14.5907332;0;0;1823;P01987376;Cumming;Kessler
Sablaya, M;51;nan;<NA>;01/02/1916 - 31/03/1916;Northern Samar;Philippine Islands. Catubig River. Samar;P06901144;Philippines;Pseuduvaria;philippinensis;0;0;0;0;;;1;2;1916;;;;0;0;0;125.03;12.467;0;0;51;P06901144;Sablaya, M.;<NA>
Merrill, ED;3996;Kessler, P;03/09/1985 - 03/09/1985;01/03/1905 - 31/03/1905;Quezon;Philippines. Atimonana, Tayabas Prov., Luzon.;P01987484;Philippines;Orophea;glabra;0;0;0;0;;;1;3;1905;3;9;1985;0;0;0;121.9208;13.9989;0;0;3996;P01987484;Merrill, E.D.;Kessler, P.
Elmer, ADE;16690;Elmer, ADE;<NA>;01/07/1916 - 31/07/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;P01987485;Philippines;Orophea;glabra;0;0;0;0;;;1;7;1916;;;;0;0;0;124.055;12.769;0;0;16690;P01987485;Elmer, A.D.E.;Elmer, A.D.E.
Ramos, M;40979;Kessler, P;08/03/1984 - 08/03/1984;01/06/1922 - 30/06/1922;Oriental Mindoro;Philippines. Pinamalayan. Mindoro.;P01987486;Philippines;Orophea;glabra;0;0;0;0;;;1;6;1922;8;3;1984;0;0;0;121.4801563;13.0386691;0;0;40979;P01987486;Ramos, M.;Kessler, P.
Ramos, M;46366;Kessler, P;08/03/1984 - 08/03/1984;01/11/1925 - 31/12/1925;Oriental Mindoro;Philippines. Puerto Galera. Mindoro;P01987487;Philippines;Orophea;glabra;0;0;0;0;;;1;11;1925;8;3;1984;0;0;0;120.9541838;13.5018252;0;0;46366;P01987487;Ramos, M.;Kessler, P.
Ramos, M;1672;Kessler, P;13/02/1985 - 13/02/1985;01/04/1914 - 30/04/1914;Samar;Philippine Plants. Samar;P01987488;Philippines;Orophea;glabra;0;0;0;0;;;1;4;1914;13;2;1985;0;0;0;125.0;12.0;0;0;1672;P01987488;Ramos, M.;Kessler, P.
Cuming;;Leonardia, A;01/07/1999 - 31/07/1999;<NA>;National Capital Region (NCR);Manille.;P01987489;Philippines;Orophea;glabra;0;0;0;0;<NA>;<NA>;;;;1;7;1999;0;0;0;120.9809674;14.5907332;0;0;nan;P01987489;Cuming;Leonardia, A.
Cumming;1277;Leonardia, A;01/07/1999 - 31/07/1999;<NA>;National Capital Region (NCR);Manille.;P01987490;Philippines;Orophea;glabra;0;0;0;0;;;;;;1;7;1999;0;0;0;120.9809674;14.5907332;0;0;1277;P01987490;Cumming;Leonardia, A.
Elmer, ADE;14624;Kessler, P;01/06/2004 - 30/06/2004;01/10/1915 - 31/10/1915;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon;P01987500;Philippines;Orophea;cumingiana;0;0;0;0;;;1;10;1915;1;6;2004;0;0;0;124.055;12.766;0;0;14624;P01987500;Elmer, A.D.E.;Kessler, P.
Ramos, M;45414;Kessler, P;<NA>;01/05/1925 - 30/06/1925;Sorsogon;Philippines. Casiguran. Tayabas Province. Luzon;P01987501;Philippines;Orophea;cumingiana;0;0;0;0;;;1;5;1925;;;;0;0;0;124.0067371;12.8719998;0;0;45414;P01987501;Ramos, M.;Kessler, P.
Ramos, M;;Kessler, P;15/02/1985 - 15/02/1985;01/09/1926 - 31/10/1926;Quezon;Philippines. Alabat island;P01987502;Philippines;Orophea;cumingiana;0;0;0;0;<NA>;<NA>;1;9;1926;15;2;1985;0;0;0;122.05;14.099;0;0;nan;P01987502;Ramos, M.;Kessler, P.
Ramos, M;40930;Kessler, P;03/09/1985 - 03/09/1985;01/06/1922 - 30/06/1922;Oriental Mindoro;Philippines. Pinamalayan. Mindoro;P01987503;Philippines;Orophea;cumingiana;0;0;0;0;;;1;6;1922;3;9;1985;0;0;0;121.4801563;13.0386691;0;0;40930;P01987503;Ramos, M.;Kessler, P.
Sablaya, M;71;Kessler, P;03/03/1986 - 03/03/1986;01/02/1916 - 31/03/1916;Northern Samar;Philippine Islands. Catubig River. Samar;P01987504;Philippines;Orophea;cumingiana;0;0;0;0;;;1;2;1916;3;3;1986;0;0;0;125.03;12.467;0;0;71;P01987504;Sablaya, M.;Kessler, P.
Sablaya, M;39;Kessler, P;03/03/1986 - 03/03/1986;01/02/1916 - 31/03/1916;Northern Samar;Philippine Islands. Catubig River, Samar;P01987505;Philippines;Orophea;cumingiana;0;0;0;0;;;1;2;1916;3;3;1986;0;0;0;125.03;12.467;0;0;39;P01987505;Sablaya, M.;Kessler, P.
Cumming;1714;Kessler, P;10/01/1986 - 10/01/1986;<NA>;National Capital Region (NCR);Manille.;P01987506;Philippines;Orophea;cumingiana;0;0;0;0;;;;;;10;1;1986;0;0;0;120.9809674;14.5907332;0;0;1714;P01987506;Cumming;Kessler, P.
Bernardo, A;13107;Kessler, P;07/01/1986 - 07/01/1986;01/05/1909 - 31/05/1909;Cagayan;Philippines. Cagayan Province. Luzon;P01987507;Philippines;Orophea;cumingiana;0;0;0;0;;;1;5;1909;7;1;1986;0;0;0;121.833;18.0;0;0;13107;P01987507;Bernardo, A.;Kessler, P.
Ramos, M;28802;Kessler, P;27/02/1986 - 27/02/1986;01/05/1917 - 31/05/1917;Quezon;Philippines. Mt. Binuang. Province of Tayabas. Luzon;P01987508;Philippines;Orophea;cumingiana;0;0;0;0;;;1;5;1917;27;2;1986;0;0;0;121.557;14.775;0;0;28802;P01987508;Ramos, M.;Kessler, P.
Ramos, M;28484;Kessler, P;01/03/1986 - 01/03/1986;01/05/1917 - 31/05/1917;Quezon;Philippines. Mt. Binuang. Province of Tayabas. Luzon.;P01987509;Philippines;Orophea;cumingiana;0;0;0;0;;;1;5;1917;1;3;1986;0;0;0;121.55694444444444;14.775;0;0;28484;P01987509;Ramos, M.;Kessler, P.
Elmer, ADE;10498;Kessler, P;08/03/1984 - 08/03/1984;01/05/1909 - 31/05/1909;Davao del Sur;Philippine Islands. Todaya (Mt. Apo), District de Davao. Island of Mindanao.;P01987510;Philippines;Orophea;cumingiana;0;0;0;0;;;1;5;1909;8;3;1984;0;0;0;125.347;6.958;0;0;10498;P01987510;Elmer, A.D.E.;Kessler, P.
Elmer, ADE;16688;Kessler, P;08/03/1984 - 08/03/1984;01/07/1916 - 31/07/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon;P01987511;Philippines;Orophea;cumingiana;0;0;0;0;;;1;7;1916;8;3;1984;0;0;0;124.055;12.766;0;0;16688;P01987511;Elmer, A.D.E.;Kessler, P.
Elmer, ADE;17601;nan;<NA>;01/06/1917 - 31/07/1917;Laguna;Philippine islands. Los Baños (Mt. Maquiling), Province of Laguna, Luzon;P01987512;Philippines;Orophea;cumingiana;0;0;0;0;;;1;6;1917;;;;0;0;0;121.199;14.134;0;0;17601;P01987512;Elmer, A.D.E.;<NA>
Ramos, M;39617;nan;<NA>;01/04/1921 - 30/04/1921;Occidental Mindoro;Philippines. Paluan. Mindoro;P01987513;Philippines;Orophea;cumingiana;0;0;0;0;;;1;4;1921;;;;0;0;0;120.4623373;13.4155816;0;0;39617;P01987513;Ramos, M.;<NA>
Adduru, M;148;nan;<NA>;01/05/1917 - 18/06/1917;Cagayan;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;P01987514;Philippines;Orophea;cumingiana;0;0;0;0;;;1;5;1917;;;;0;0;0;121.9;17.617;0;0;148;P01987514;Adduru, M.;<NA>
Loher, A;14868;nan;<NA>;01/06/1913 - 30/06/1913;Rizal;Philippines. Rizal Province. Luzon;P01987515;Philippines;Orophea;cumingiana;0;0;0;0;;;1;6;1913;;;;0;0;0;121.25;14.65;0;0;14868;P01987515;Loher, A.;<NA>
Podzorski, AC;SMHI 756;Bouyer, AM;22/06/2000 - 22/06/2000;06/04/1984 - 06/04/1984;Palawan;Palawan. Lake Manguao (Danao), valley of stream leading into NNW bay of lake. Altitude: 60 - 80 m;P01987516;Philippines;Orophea;creaghii;0;0;0;0;SMHI;;6;4;1984;22;6;2000;0;0;0;119.521;10.78;0;0;756;P01987516;Podzorski, A.C.;Bouyer, A.M.
Merrill, ED;9227;nan;<NA>;01/04/1913 - 30/04/1913;Palawan;Philippines. Taytay. Palawan;P01987521;Philippines;Orophea;creaghii;0;0;0;0;;;1;4;1913;;;;0;0;0;119.5159199;10.8264031;0;0;9227;P01987521;Merrill, E.D.;<NA>
Merrill;9227;nan;<NA>;01/04/1913 - 30/04/1913;;Bureau of Science Manila;P01987522;Philippines;Orophea;creaghii;0;0;0;0;;;1;4;1913;;;;0;0;0;;;0;0;9227;P01987522;Merrill;<NA>
Merrill, ED;9227;Leonardia, A;01/07/1999 - 31/07/1999;01/04/1913 - 30/04/1913;Palawan;Philippines. Taytay. Palawan;P01987523;Philippines;Orophea;creaghii;0;0;0;0;;;1;4;1913;1;7;1999;0;0;0;119.5159199;10.8264031;0;0;9227;P01987523;Merrill, E.D.;Leonardia, A.
Ramos, M;1545;Kessler, P;06/03/1986 - 06/03/1986;01/12/1913 - 31/12/1913;Bicol Region (Region V);Philippine Plants. Prov. of Camarines. Luzon;P01987526;Philippines;Orophea;corymbosa;0;0;0;0;;;1;12;1913;6;3;1986;0;0;0;122.793;14.013;0;0;1545;P01987526;Ramos, M.;Kessler, P.
Elmer, ADE;16208;Kessler, P;06/03/1986 - 06/03/1986;01/05/1916 - 31/05/1916;Sorsogon;Philippine islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon;P01987537;Philippines;Orophea;corymbosa;0;0;0;0;;;1;5;1916;6;3;1986;0;0;0;124.057;12.766;0;0;16208;P01987537;Elmer, A.D.E.;Kessler, P.
Whitford, HN;1238;Kessler, P;01/05/2004 - 31/05/2004;01/05/1905 - 31/05/1905;Bataan;Philippines. Lamao River, Mt. Mariveles, Province of Bataan, Luzon.;P01987548;Philippines;Orophea;sp.;0;0;0;0;;;1;5;1905;1;5;2004;0;0;0;120.521;14.517;0;0;1238;P01987548;Whitford, H.N.;Kessler, P.
Reillo, J;16386;Kessler, P;01/05/2004 - 31/05/2004;01/09/1912 - 31/10/1912;Zamboanga Sibugay;Philippines. Santa Maria. District de Zamboanga. Mindanao;P01987549;Philippines;Orophea;sp.;0;0;0;0;;;1;9;1912;1;5;2004;0;0;0;122.065;6.933;0;0;16386;P01987549;Reillo, J.;Kessler, P.
Miras;24434;Kessler, P;07/02/1986 - 07/02/1986;01/09/1915 - 30/09/1915;Caraga (Region XIII);Philippines. Province of Agusan. Mindanao;P01987550;Philippines;Orophea;sp.;0;0;0;0;;;1;9;1915;7;2;1986;0;0;0;125.59;8.703;0;0;24434;P01987550;Miras;Kessler, P.
Merrill, ED;4037;Kessler, P;01/06/2004 - 30/06/2004;01/03/1905 - 31/03/1905;Oriental Mindoro;Philippines. Baco River. Mindoro;P01987551;Philippines;Orophea;sp.;0;0;0;0;;;1;3;1905;1;6;2004;0;0;0;121.101;13.399;0;0;4037;P01987551;Merrill, E.D.;Kessler, P.
Elmer, ADE;15197;Kessler, P;10/01/1986 - 10/01/1986;01/11/1915 - 30/11/1915;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon.;P01987552;Philippines;Orophea;sp.;0;0;0;0;;;1;11;1915;10;1;1986;0;0;0;124.0321;12.7038;0;0;15197;P01987552;Elmer, A.D.E.;Kessler, P.
Elmer, ADE;6434;Kessler, P;01/06/2009 - 30/06/2009;01/05/1904 - 31/05/1904;Benguet;Philippines. Kias, Province of Benguet, Luzon.;P01987553;Philippines;Orophea;sp.;0;0;0;0;;;1;5;1904;1;6;2009;0;0;0;120.6314746;16.3674126;0;0;6434;P01987553;Elmer, A.D.E.;Kessler, P.
Darling, FW;14848;nan;<NA>;01/05/1909 - 31/05/1909;Nueva Vizcaya;Philippines. Province of Nueva Vizcaya. Luzon.;P01987554;Philippines;Orophea;sp.;0;0;0;0;;;1;5;1909;;;;0;0;0;121.13;16.35;0;0;14848;P01987554;Darling, F.W.;<NA>
Ridsdale, CE;5352;nan;<NA>;15/04/1986 - 15/04/1986;Oriental Mindoro;Philippines. North coast, Mindoro. Subaan River inland from San Teodoro. 150 m.;P01987555;Philippines;Orophea;sp.;0;0;0;0;;;15;4;1986;;;;0;0;0;120.966;13.312;0;0;5352;P01987555;Ridsdale, C.E.;<NA>
Darling, FW;;nan;<NA>;01/11/1909 - 30/11/1909;Quezon;Philippines, Prov. Tayabas, Luzon;P02034803;Philippines;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;11;1909;;;;0;0;0;121.5918364;14.0263471;0;0;nan;P02034803;Darling, F.W.;<NA>
Loher, A;35;Loher, A;<NA>;05/11/1891 - 05/11/1891;Bataan;Mariveles, Luzon central;P02034804;Philippines;Goniothalamus;sp.;0;0;0;0;;;5;11;1891;;;;0;0;0;120.4903545;14.4356104;0;0;35;P02034804;Loher, A.;Loher, A.
Cumming;793;Kessler, P;26/10/1989 - 26/10/1989;<NA>;National Capital Region (NCR);Manille;P02034805;Philippines;Goniothalamus;sp.;0;0;0;0;;;;;;26;10;1989;0;0;0;120.9809674;14.5907332;0;0;793;P02034805;Cumming;Kessler, P.
Cumming;1792;Kessler, P;26/10/1989 - 26/10/1989;<NA>;National Capital Region (NCR);Manille.;P02034806;Philippines;Goniothalamus;sp.;0;0;0;0;;;;;;26;10;1989;0;0;0;120.9809674;14.5907332;0;0;1792;P02034806;Cumming;Kessler, P.
Ramos, M;26371;nan;<NA>;01/08/1916 - 30/09/1916;Nueva Ecija;Philippines. Mt. Umingan. Province of Nueva Ecija. Luzon;P01986108;Philippines;Friesodielsia;bakeri;0;0;0;0;;;1;8;1916;;;;0;0;0;121.37;15.517;0;0;26371;P01986108;Ramos, M.;<NA>
Ramos, M;43245;nan;<NA>;01/08/1923 - 31/10/1923;Bohol;Philippines. Bohol;P01986110;Philippines;Friesodielsia;auriculata;0;0;0;0;;;1;8;1923;;;;0;0;0;124.162;9.833;0;0;43245;P01986110;Ramos, M.;<NA>
Ramos, M;22063;nan;01/01/1987 - 31/12/1987;01/11/1913 - 31/12/1913;Camarines Sur;Philippines. Mt. Isarog. Camarines;P01986117;Philippines;Friesodielsia;sp.;0;0;0;0;;;1;11;1913;1;1;1987;0;0;0;123.373;13.659;0;0;22063;P01986117;Ramos, M.;van Setten, A.K.
Ramos, M;;Kessler, P;01/11/2003 - 30/11/2003;01/02/1913 - 28/02/1913;Laguna;Philippines. San Antonio. Prov. Laguna. Luzon;P01986124;Philippines;Friesodielsia;sp.;0;0;0;0;<NA>;<NA>;1;2;1913;1;11;2003;0;0;0;121.052;14.367;0;0;nan;P01986124;Ramos, M.;Kessler, P.
Loher, A;12079;nan;<NA>;01/05/1907 - 31/05/1907;Rizal;Philippines. Montalban. Rizal Province;P01986138;Philippines;Friesodielsia;glauca;0;0;0;0;;;1;5;1907;;;;0;0;0;121.144;14.7295;0;0;12079;P01986138;Loher, A.;<NA>
Barthe;;Kessler, P;26/10/1989 - 26/10/1989;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P02034807;Philippines;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;1;1857;26;10;1989;0;0;0;120.9809674;14.5907332;0;0;nan;P02034807;Barthe;Kessler, P.
Barthe;;Kessler, P;26/10/1989 - 26/10/1989;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P02034809;Philippines;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;1;1857;26;10;1989;0;0;0;120.9809674;14.5907332;0;0;nan;P02034809;Barthe;Kessler, P.
Ramos, M;49028;Kessler, P;01/05/2005 - 31/05/2005;01/03/1927 - 30/04/1927;Davao Oriental;Philippines. Mati. Davao Province. Mindanao;P02034810;Philippines;Goniothalamus;sp.;0;0;0;0;;;1;3;1927;1;5;2005;0;0;0;126.2185;6.952;0;0;49028;P02034810;Ramos, M.;Kessler, P.
Miranda, DP;;Kessler, P;01/05/2004 - 31/05/2004;01/09/1913 - 30/09/1913;Agusan del Norte;Philippines, Butuan Subprovince. Mindanao;P02034811;Philippines;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;9;1913;1;5;2004;0;0;0;125.527228;8.9478297;0;0;nan;P02034811;Miranda, D.P.;Kessler, P.
Callery;;nan;<NA>;<NA>;National Capital Region (NCR);Manille ?;P02034944;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;120.9809674;14.5907332;0;0;nan;P02034944;Callery;<NA>
Callery;;nan;<NA>;<NA>;National Capital Region (NCR);Manille ?;P02034945;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;120.9809674;14.5907332;0;0;nan;P02034945;Callery;<NA>
Ramos, M;1537;Merrill, ED;<NA>;01/12/1913 - 31/12/1913;Bicol Region (Region V);Philippine Plants. Prov. of Camarines. Luzon;P01983890;Philippines;Polyalthia;flava;0;0;0;0;;;1;12;1913;;;;0;0;0;122.793;14.013;0;0;1537;P01983890;Ramos, M.;Merrill, E.D.
Ramos, M;;nan;<NA>;01/11/1924 - 31/12/1924;Zambales;Philippines. Mt. Marangay. Zambales Province. Luzon;P01983891;Philippines;Polyalthia;flava;0;0;0;0;<NA>;<NA>;1;11;1924;;;;0;0;0;120.1;15.23;0;0;nan;P01983891;Ramos, M.;<NA>
Ramos, M;45271;nan;<NA>;01/05/1925 - 30/06/1925;Sorsogon;Philippines. Casiguran. Tayabas Province. Luzon;P01983896;Philippines;Polyalthia;glauca;0;0;0;0;;;1;5;1925;;;;0;0;0;124.0067371;12.8719998;0;0;45271;P01983896;Ramos, M.;<NA>
Curran, HM;10475;nan;<NA>;01/05/1908 - 31/05/1908;Bicol Region (Region V);Philippines. Camarines Prov., Luzon;P01983902;Philippines;Polyalthia;glauca;0;0;0;0;;;1;5;1908;;;;0;0;0;122.793;14.013;0;0;10475;P01983902;Curran, H.M.;<NA>
Ramos, M;;nan;<NA>;01/09/1926 - 31/10/1926;Quezon;Philippines. Alabat Island;P01983919;Philippines;Polyalthia;lanceolata;0;0;0;0;<NA>;<NA>;1;9;1926;;;;0;0;0;122.03;14.12;0;0;nan;P01983919;Ramos, M.;<NA>
Cumming;1412;Kessler, P;10/01/1986 - 10/01/1986;<NA>;National Capital Region (NCR);Manille.;P00389911;Philippines;Orophea;cumingiana;0;0;0;0;;;;;;10;1;1986;0;0;0;120.9809674;14.5907332;0;0;1412;P00389911;Cumming;Kessler, P.
Cuming;854;Kessler, P;01/03/1986 - 01/03/1986;<NA>;;Philippines;P00389912;Philippines;Orophea;cumingiana;0;0;0;0;;;;;;1;3;1986;0;0;0;;;0;0;854;P00389912;Cuming;Kessler, P.
Ramos, M;1673;Kessler, P;08/03/1984 - 08/03/1984;01/04/1914 - 30/04/1914;Eastern Visayas (Region VIII);Philippine. Samar.;P00389913;Philippines;Orophea;polyantha;0;0;0;0;;;1;4;1914;8;3;1984;0;0;0;125.0;11.833333333333334;0;0;1673;P00389913;Ramos, M.;Kessler, P.
Ramos, M;1673;Merrill, ED;<NA>;01/04/1914 - 30/04/1914;Samar;Philippine plants. Samar;P00389914;Philippines;Orophea;polyantha;0;0;0;0;;;1;4;1914;;;;0;0;0;125.11;11.96;0;0;1673;P00389914;Ramos, M.;Merrill, E.D.
Elmer, ADE;13985;Elmer, ADE;<NA>;01/10/1912 - 31/10/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta), Province of Agusan. Island of Mindanao;P00389915;Philippines;Mitrephora;aversa;0;0;0;0;;;1;10;1912;;;;0;0;0;125.5322203;9.1232986;0;0;13985;P00389915;Elmer, A.D.E.;Elmer, A.D.E.
Castillo, E;22719;nan;<NA>;01/04/1915 - 31/05/1915;Cagayan;Philippines. Province of Cagayan. Luzon;P00389960;Philippines;Artabotrys;cagayanensis;0;0;0;0;;;1;4;1915;;;;0;0;0;121.83;18.0;0;0;22719;P00389960;Castillo, E.;<NA>
Tarrosa;14927;Kessler, P;08/03/1984 - 08/03/1984;01/04/1912 - 30/04/1912;Cotabato;Philippines. District of Cotabato. Mindanao;P00389962;Philippines;Orophea;cumingiana;0;0;0;0;;;1;4;1912;8;3;1984;0;0;0;124.237;7.2;0;0;14927;P00389962;Tarrosa;Kessler, P.
Elmer, ADE;12645;Kessler, P;10/05/0184 - 10/05/0184;01/02/1911 - 28/02/1911;Palawan;Philippine islands. Brooks point (Addison peak), Province of Palawan. Island of Palawan;P00389963;Philippines;Orophea;palawanensis;0;0;0;0;;;1;2;1911;10;5;184;0;0;0;117.777;8.808;0;0;12645;P00389963;Elmer, A.D.E.;Kessler, P.
